T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
1          92          382       381        0       1     0       1     0 63.41%    63.47% 26.92% 49.06%
1          92          382       381        0       1     0       1     0 63.41%    63.47% 26.92% 49.06%
1          92          382       381        0       1     0       1     0 63.41%    63.47% 26.92% 49.06%
1          93          385       384        0       1     0       1     0 63.12%    63.18% 26.34% 48.74%
1          93          410       409        0       1     0       1     0 60.73%    60.79% 21.55% 49.56%
1          94          396       395        0       1     0       1     0 62.07%    62.13% 24.23% 50.09%
1          88          378       377        0       1     0       1     0 63.79%    63.85% 27.68% 50.30%
1          84          375       374        0       1     0       1     0 64.08%    64.14% 28.26% 51.49%
1          88          384       383        0       1     0       1     0 63.22%    63.28% 26.53% 50.75%
1          81          358       357        0       1     0       1     0 65.71%    65.77% 31.51% 52.34%
1          81          374       373        0       1     0       1     0 64.18%    64.24% 28.45% 52.44%
1          82          333       332        0       1     0       1     0 68.10%    68.17% 36.30% 53.18%
1          78          311       310        0       1     0       1     0 70.21%    70.28% 40.52% 54.60%
1          73          302       301        0       1     0       1     0 71.07%    71.14% 42.24% 56.39%
1          70          281       280        0       1     0       1     0 73.08%    73.15% 46.26% 57.52%
1          67          267       266        0       1     0       1     0 74.43%    74.50% 48.95% 58.49%
1          66          284       283        0       1     0       1     0 72.80%    72.87% 45.69% 59.45%
1          62          265       264        0       1     0       1     0 74.62%    74.69% 49.33% 59.77%
1          62          276       275        0       1     0       1     0 73.56%    73.63% 47.22% 59.70%
1          60          292       291        0       1     0       1     0 72.03%    72.10% 44.16% 60.80%
1          50          235       234        0       1     0       1     0 77.49%    77.56% 55.08% 62.13%
1          46          222       221        0       1     0       1     0 78.74%    78.81% 57.57% 62.49%
1          44          224       223        0       1     0       1     0 78.54%    78.62% 57.18% 63.11%
1          39          188       187        0       1     0       0     1 81.99%    82.07% 64.08% 63.83%
1          37          163       162        0       1     0       0     1 84.39%    84.47% 68.87% 63.99%
1          33          140       139        0       1     0       0     1 86.59%    86.67% 73.28% 64.93%
1          28          137       136        0       1     0       0     1 86.88%    86.96% 73.85% 65.24%
1          28          126       125        0       1     0       0     1 87.93%    88.02% 75.96% 65.56%
1          23          120       119        0       1     0       0     1 88.51%    88.59% 77.11% 66.04%
1          21          105       104        0       1     0       0     1 89.94%    90.03% 79.98% 65.90%
1          19           90        89        0       1     0       0     1 91.38%    91.47% 82.85% 66.07%
1          17           85        84        0       1     0       0     1 91.86%    91.95% 83.81% 66.28%
1          16           84        83        0       1     0       0     1 91.95%    92.04% 84.00% 66.29%
1          10           39        38        0       1     0       0     1 96.26%    96.36% 92.62% 66.47%
1          11           40        39        0       1     0       0     1 96.17%    96.26% 92.43% 66.52%
1           8           11        10        0       1     0       0     1 98.95%    99.04% 97.99% 66.53%
1           7           10         9        0       1     0       0     1 99.04%    99.14% 98.18% 66.56%
1           8           11        10        0       1     0       0     1 98.95%    99.04% 97.99% 66.57%
1           7            9         8        0       1     0       0     1 99.14%    99.23% 98.37% 66.59%
1           4            5         4        0       1     0       0     1 99.52%    99.62% 99.14% 66.54%
1           2            3         2        0       1     0       0     1 99.71%    99.81% 99.52% 66.56%
1           2            3         2        0       1     0       0     1 99.71%    99.81% 99.52% 66.56%
1           2            3         2        0       1     0       0     1 99.71%    99.81% 99.52% 66.56%
1           2            3         2        0       1     0       0     1 99.71%    99.81% 99.52% 66.56%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           1            2         1        0       1     0       0     1 99.81%    99.90% 99.71% 66.57%
1           0            1         0        0       1     0       0     1 99.90%   100.00% 99.90% 66.60%
